Intune Remote Help,,,,?,,?,Not currently available in E5. Allows for secure role based remote support for windows and android
Intune Endpoint Privilege Management,,,,?,,?,Not currently available in E5. Allows the use of an elevated account for approved tasks to align with zero trust principles.
Intune Enterprise Application Management,,,,?,,?,"Not currently available in E5, Stremline app management updates for Microsoft supported apps"
Microsoft Cloud PKI,,,,?,,,Duplicate
Rules-Based Classification (Client & Scanner),,,?,?,,,
Windows Server CAL Rights,?,,,?,,,
Windows,E3,,,E5,,,
Always On VPN,?,,,?,,,Definitely worth considering - can we replace Cisco VPN with this?
Application Control,?,,,?,,,
AppLocker,?,,,?,,,
App Assure,?,,,?,,,
Assigned Access,?,,,?,,,
Attack Surface Reduction,?,,,?,?,,
BitLocker,?,,,?,?,,
BitLocker to Go,?,,,?,,,
BranchCache,?,,,?,,,
Copilot in Windows,?,,,?,,,
Custom Logon,?,,,?,,,
Custom Shell,?,,,?,,,
Credential Guard,?,,,?,,,
Defender Antivirus,?,,,?,?,,
Defender for Endpoint Plan 2,,?,,?,,,
 > Advanced Hunting,,?,,?,?,,
 > Automated Investigations,,?,,?,?,,
 > Defender for Cloud Apps Integration,,?,,?,?,,
 > Endpoint Attack Notifications (suspended),,?,,?,,?,
 > Endpoint Detection & Response,,?,,?,?,,
 > Evaluation Lab,,?,,?,,,
 > Threat Analytics,,?,,?,?,,
 > 6-Months Searchable Data,,?,,?,,?,
 > Defender Vulnerability Management (core),,?,,?,?,,
 > > Configuration Assessment,,?,,?,,,
 > > Continuous Monitoring,,?,,?,,,
 > > Device Discovery,,?,,?,?,,
 > > Device Inventory,,?,,?,?,,
 > > Remediation Tracking,,?,,?,,,
 > > Risk Based Prioritization,,?,,?,,,
 > > Software Inventory,,?,,?,?,,
 > > Software Usage Insights,,?,,?,,,
 > > Vulnerability Assessment,,?,,?,?,,
 > Defender for Endpoint Plan 1,?,?,,?,,,
 > > Attack Surface Reduction (enhanced),?,?,,?,?,,
 > > Block at First Sight,?,?,,?,?,,
 > > Centralized Management,?,?,,?,?,,
 > > Cross-Platform Support,?,?,,?,?,,
 > > Manual Response Actions,?,?,,?,?,,
 > > Mobile Threat Defence,?,?,,?,?,,
 > > Next Gen Protection,?,?,,?,?,,
 > > Tamper Protection,?,?,,?,?,,
 > > Web Content Filtering,?,?,,?,,?,We are currently using Cisco Umbrella on Workstations
Device Guard,?,,,?,?,,
DirectAccess (deprecated),?,,,?,,,
Domain Join,?,,,?,?,,
Edge for Business,?,,,?,?,,
Entra ID Join,?,,,?,?,,
Keyboard Filter,?,,,?,,,
LAPS,?,,,?,?,,
Long Term Servicing Channel,?,,,?,,,
Manage by MDM,?,,,?,?,,
MDOP (retiring),?,,,?,,,
Persistent Memory,?,,,?,,,
Power Automate Attended Desktop Flows,?,,,?,,,
Resilient File System (ReFS),?,,,?,,,
SMB Direct,?,,,?,,,
Unbranded Boot,?,,,?,,,
Unified Write Filter,?,,,?,,,
